"Engineering Mathematics I","Chemistry","Communication Techniques","Programming in C","Basic Electrical Engineering","Mechanical Workshop","Engineering
Mathematics II",Physics,"Engineering
Drawing","Object Oriented
Programming in C++","Applied
Mechanics I","Thermal 
Science","Engineering 
Mathematics III","Data Structure 
and Algorithms","Electrical
Engineering ",Network Theory,"Electronics
Devices and ",Logic Circuits,"Engineering 
Mathematics IV",Instrumentation,"Database Management 
Systems","Programming
Technology",Microprocessors,Project I,"Numerical
Methods","Probability and 
Statistics","Operating
Systems","Computer 
Architecture","Computer 
Graphics","Theory of
Computation",Simulation and Modeling,Data Communication,Object Oriented Software,Embedded Systems,Project II,Elective I,"Artificial
Intelligence","Engineering
Economics",Computer Network,"Image Processing and
Pattern Recognition","ICT Project 
Management",Elective II,"Digital Signal 
Analysis
Processing","Social and
Professional 
Issues in IT","Organization and
Management","Information
System",Project III,Elective III
0.6473526474,3.784215784,3.503696304,2.935264735,3.935264735,4,2.764735265,0,2.117382617,2.901598402,0,3.170529471,1.980519481,3.568431568,0.5826173826,2.352647353,0,3.848951049,0.5826173826,3.3,3.935264735,2.915784216,2.764735265,4,3.848951049,0.5826173826,2.764735265,2.915784216,2.764735265,2.829470529,2.935264735,2.280519481,3.613686314,2.117382617,3.935264735,3.764735265,2.829470529,0,2.829470529,0.6473526474,2.7,2.431568432,0,2.7,3.151048951,2.117382617,3.7,3.386313686
0.6503496503,3.783216783,3.501398601,2.934965035,3.934965035,4,2.765034965,0,2.114685315,2.897902098,0,3.16993007,1.981818182,3.566433566,0.5853146853,2.34965035,0,3.848251748,0.5853146853,3.3,3.934965035,2.916783217,2.765034965,4,3.848251748,0.5853146853,2.765034965,2.916783217,2.765034965,2.83006993,2.934965035,2.281818182,3.613286713,2.114685315,3.934965035,3.765034965,2.83006993,0,2.83006993,0.6503496503,2.7,2.433566434,0,2.7,3.151748252,2.114685315,3.7,3.386713287
0.6533466533,3.782217782,3.499100899,2.934665335,3.934665335,4,2.765334665,0,2.111988012,2.894205794,0,3.169330669,1.983116883,3.564435564,0.588011988,2.346653347,0,3.847552448,0.588011988,3.3,3.934665335,2.917782218,2.765334665,4,3.847552448,0.588011988,2.765334665,2.917782218,2.765334665,2.830669331,2.934665335,2.283116883,3.612887113,2.111988012,3.934665335,3.765334665,2.830669331,0,2.830669331,0.6533466533,2.7,2.435564436,0,2.7,3.152447552,2.111988012,3.7,3.387112887
0.6563436563,3.781218781,3.496803197,2.934365634,3.934365634,4,2.765634366,0,2.109290709,2.890509491,0,3.168731269,1.984415584,3.562437562,0.5907092907,2.343656344,0,3.846853147,0.5907092907,3.3,3.934365634,2.918781219,2.765634366,4,3.846853147,0.5907092907,2.765634366,2.918781219,2.765634366,2.831268731,2.934365634,2.284415584,3.612487512,2.109290709,3.934365634,3.765634366,2.831268731,0,2.831268731,0.6563436563,2.7,2.437562438,0,2.7,3.153146853,2.109290709,3.7,3.387512488
0.6593406593,3.78021978,3.494505495,2.934065934,3.934065934,4,2.765934066,0,2.106593407,2.886813187,0,3.168131868,1.985714286,3.56043956,0.5934065934,2.340659341,0,3.846153846,0.5934065934,3.3,3.934065934,2.91978022,2.765934066,4,3.846153846,0.5934065934,2.765934066,2.91978022,2.765934066,2.831868132,2.934065934,2.285714286,3.612087912,2.106593407,3.934065934,3.765934066,2.831868132,0,2.831868132,0.6593406593,2.7,2.43956044,0,2.7,3.153846154,2.106593407,3.7,3.387912088
0.6623376623,3.779220779,3.492207792,2.933766234,3.933766234,4,2.766233766,0,2.103896104,2.883116883,0,3.167532468,1.987012987,3.558441558,0.5961038961,2.337662338,0,3.845454545,0.5961038961,3.3,3.933766234,2.920779221,2.766233766,4,3.845454545,0.5961038961,2.766233766,2.920779221,2.766233766,2.832467532,2.933766234,2.287012987,3.611688312,2.103896104,3.933766234,3.766233766,2.832467532,0,2.832467532,0.6623376623,2.7,2.441558442,0,2.7,3.154545455,2.103896104,3.7,3.388311688
0.6653346653,3.778221778,3.48991009,2.933466533,3.933466533,4,2.766533467,0,2.101198801,2.879420579,0,3.166933067,1.988311688,3.556443556,0.5988011988,2.334665335,0,3.844755245,0.5988011988,3.3,3.933466533,2.921778222,2.766533467,4,3.844755245,0.5988011988,2.766533467,2.921778222,2.766533467,2.833066933,2.933466533,2.288311688,3.611288711,2.101198801,3.933466533,3.766533467,2.833066933,0,2.833066933,0.6653346653,2.7,2.443556444,0,2.7,3.155244755,2.101198801,3.7,3.388711289
0.6683316683,3.777222777,3.487612388,2.933166833,3.933166833,4,2.766833167,0,2.098501499,2.875724276,0,3.166333666,1.98961039,3.554445554,0.6014985015,2.331668332,0,3.844055944,0.6014985015,3.3,3.933166833,2.922777223,2.766833167,4,3.844055944,0.6014985015,2.766833167,2.922777223,2.766833167,2.833666334,2.933166833,2.28961039,3.610889111,2.098501499,3.933166833,3.766833167,2.833666334,0,2.833666334,0.6683316683,2.7,2.445554446,0,2.7,3.155944056,2.098501499,3.7,3.389110889
0.6713286713,3.776223776,3.485314685,2.932867133,3.932867133,4,2.767132867,0,2.095804196,2.872027972,0,3.165734266,1.990909091,3.552447552,0.6041958042,2.328671329,0,3.843356643,0.6041958042,3.3,3.932867133,2.923776224,2.767132867,4,3.843356643,0.6041958042,2.767132867,2.923776224,2.767132867,2.834265734,2.932867133,2.290909091,3.61048951,2.095804196,3.932867133,3.767132867,2.834265734,0,2.834265734,0.6713286713,2.7,2.447552448,0,2.7,3.156643357,2.095804196,3.7,3.38951049
0.6743256743,3.775224775,3.483016983,2.932567433,3.932567433,4,2.767432567,0,2.093106893,2.868331668,0,3.165134865,1.992207792,3.55044955,0.6068931069,2.325674326,0,3.842657343,0.6068931069,3.3,3.932567433,2.924775225,2.767432567,4,3.842657343,0.6068931069,2.767432567,2.924775225,2.767432567,2.834865135,2.932567433,2.292207792,3.61008991,2.093106893,3.932567433,3.767432567,2.834865135,0,2.834865135,0.6743256743,2.7,2.44955045,0,2.7,3.157342657,2.093106893,3.7,3.38991009
0.6773226773,3.774225774,3.480719281,2.932267732,3.932267732,4,2.767732268,0,2.09040959,2.864635365,0,3.164535465,1.993506494,3.548451548,0.6095904096,2.322677323,0,3.841958042,0.6095904096,3.3,3.932267732,2.925774226,2.767732268,4,3.841958042,0.6095904096,2.767732268,2.925774226,2.767732268,2.835464535,2.932267732,2.293506494,3.60969031,2.09040959,3.932267732,3.767732268,2.835464535,0,2.835464535,0.6773226773,2.7,2.451548452,0,2.7,3.158041958,2.09040959,3.7,3.39030969
0.6803196803,3.773226773,3.478421578,2.931968032,3.931968032,4,2.768031968,0,2.087712288,2.860939061,0,3.163936064,1.994805195,3.546453546,0.6122877123,2.31968032,0,3.841258741,0.6122877123,3.3,3.931968032,2.926773227,2.768031968,4,3.841258741,0.6122877123,2.768031968,2.926773227,2.768031968,2.836063936,2.931968032,2.294805195,3.609290709,2.087712288,3.931968032,3.768031968,2.836063936,0,2.836063936,0.6803196803,2.7,2.453546454,0,2.7,3.158741259,2.087712288,3.7,3.390709291
0.6833166833,3.772227772,3.476123876,2.931668332,3.931668332,4,2.768331668,0,2.085014985,2.857242757,0,3.163336663,1.996103896,3.544455544,0.614985015,2.316683317,0,3.840559441,0.614985015,3.3,3.931668332,2.927772228,2.768331668,4,3.840559441,0.614985015,2.768331668,2.927772228,2.768331668,2.836663337,2.931668332,2.296103896,3.608891109,2.085014985,3.931668332,3.768331668,2.836663337,0,2.836663337,0.6833166833,2.7,2.455544456,0,2.7,3.159440559,2.085014985,3.7,3.391108891
0.6863136863,3.771228771,3.473826174,2.931368631,3.931368631,4,2.768631369,0,2.082317682,2.853546454,0,3.162737263,1.997402597,3.542457542,0.6176823177,2.313686314,0,3.83986014,0.6176823177,3.3,3.931368631,2.928771229,2.768631369,4,3.83986014,0.6176823177,2.768631369,2.928771229,2.768631369,2.837262737,2.931368631,2.297402597,3.608491508,2.082317682,3.931368631,3.768631369,2.837262737,0,2.837262737,0.6863136863,2.7,2.457542458,0,2.7,3.16013986,2.082317682,3.7,3.391508492
0.6893106893,3.77022977,3.471528472,2.931068931,3.931068931,4,2.768931069,0,2.07962038,2.84985015,0,3.162137862,1.998701299,3.54045954,0.6203796204,2.310689311,0,3.839160839,0.6203796204,3.3,3.931068931,2.92977023,2.768931069,4,3.839160839,0.6203796204,2.768931069,2.92977023,2.768931069,2.837862138,2.931068931,2.298701299,3.608091908,2.07962038,3.931068931,3.768931069,2.837862138,0,2.837862138,0.6893106893,2.7,2.45954046,0,2.7,3.160839161,2.07962038,3.7,3.391908092
0.6923076923,3.769230769,3.469230769,2.930769231,3.930769231,4,2.769230769,0,2.076923077,2.846153846,0,3.161538462,2,3.538461538,0.6230769231,2.307692308,0,3.838461538,0.6230769231,3.3,3.930769231,2.930769231,2.769230769,4,3.838461538,0.6230769231,2.769230769,2.930769231,2.769230769,2.838461538,2.930769231,2.3,3.607692308,2.076923077,3.930769231,3.769230769,2.838461538,0,2.838461538,0.6923076923,2.7,2.461538462,0,2.7,3.161538462,2.076923077,3.7,3.392307692
0.6953046953,3.768231768,3.466933067,2.93046953,3.93046953,4,2.76953047,0,2.074225774,2.842457542,0,3.160939061,2.001298701,3.536463536,0.6257742258,2.304695305,0,3.837762238,0.6257742258,3.3,3.93046953,2.931768232,2.76953047,4,3.837762238,0.6257742258,2.76953047,2.931768232,2.76953047,2.839060939,2.93046953,2.301298701,3.607292707,2.074225774,3.93046953,3.76953047,2.839060939,0,2.839060939,0.6953046953,2.7,2.463536464,0,2.7,3.162237762,2.074225774,3.7,3.392707293
0.6983016983,3.767232767,3.464635365,2.93016983,3.93016983,4,2.76983017,0,2.071528472,2.838761239,0,3.16033966,2.002597403,3.534465534,0.6284715285,2.301698302,0,3.837062937,0.6284715285,3.3,3.93016983,2.932767233,2.76983017,4,3.837062937,0.6284715285,2.76983017,2.932767233,2.76983017,2.83966034,2.93016983,2.302597403,3.606893107,2.071528472,3.93016983,3.76983017,2.83966034,0,2.83966034,0.6983016983,2.7,2.465534466,0,2.7,3.162937063,2.071528472,3.7,3.393106893
0.7012987013,3.766233766,3.462337662,2.92987013,3.92987013,4,2.77012987,0,2.068831169,2.835064935,0,3.15974026,2.003896104,3.532467532,0.6311688312,2.298701299,0,3.836363636,0.6311688312,3.3,3.92987013,2.933766234,2.77012987,4,3.836363636,0.6311688312,2.77012987,2.933766234,2.77012987,2.84025974,2.92987013,2.303896104,3.606493506,2.068831169,3.92987013,3.77012987,2.84025974,0,2.84025974,0.7012987013,2.7,2.467532468,0,2.7,3.163636364,2.068831169,3.7,3.393506494
0.7042957043,3.765234765,3.46003996,2.92957043,3.92957043,4,2.77042957,0,2.066133866,2.831368631,0,3.159140859,2.005194805,3.53046953,0.6338661339,2.295704296,0,3.835664336,0.6338661339,3.3,3.92957043,2.934765235,2.77042957,4,3.835664336,0.6338661339,2.77042957,2.934765235,2.77042957,2.840859141,2.92957043,2.305194805,3.606093906,2.066133866,3.92957043,3.77042957,2.840859141,0,2.840859141,0.7042957043,2.7,2.46953047,0,2.7,3.164335664,2.066133866,3.7,3.393906094
0.7072927073,3.764235764,3.457742258,2.929270729,3.929270729,4,2.770729271,0,2.063436563,2.827672328,0,3.158541459,2.006493506,3.528471528,0.6365634366,2.292707293,0,3.834965035,0.6365634366,3.3,3.929270729,2.935764236,2.770729271,4,3.834965035,0.6365634366,2.770729271,2.935764236,2.770729271,2.841458541,2.929270729,2.306493506,3.605694306,2.063436563,3.929270729,3.770729271,2.841458541,0,2.841458541,0.7072927073,2.7,2.471528472,0,2.7,3.165034965,2.063436563,3.7,3.394305694
0.7102897103,3.763236763,3.455444555,2.928971029,3.928971029,4,2.771028971,0,2.060739261,2.823976024,0,3.157942058,2.007792208,3.526473526,0.6392607393,2.28971029,0,3.834265734,0.6392607393,3.3,3.928971029,2.936763237,2.771028971,4,3.834265734,0.6392607393,2.771028971,2.936763237,2.771028971,2.842057942,2.928971029,2.307792208,3.605294705,2.060739261,3.928971029,3.771028971,2.842057942,0,2.842057942,0.7102897103,2.7,2.473526474,0,2.7,3.165734266,2.060739261,3.7,3.394705295
0.7132867133,3.762237762,3.453146853,2.928671329,3.928671329,4,2.771328671,0,2.058041958,2.82027972,0,3.157342657,2.009090909,3.524475524,0.641958042,2.286713287,0,3.833566434,0.641958042,3.3,3.928671329,2.937762238,2.771328671,4,3.833566434,0.641958042,2.771328671,2.937762238,2.771328671,2.842657343,2.928671329,2.309090909,3.604895105,2.058041958,3.928671329,3.771328671,2.842657343,0,2.842657343,0.7132867133,2.7,2.475524476,0,2.7,3.166433566,2.058041958,3.7,3.395104895
0.7162837163,3.761238761,3.450849151,2.928371628,3.928371628,4,2.771628372,0,2.055344655,2.816583417,0,3.156743257,2.01038961,3.522477522,0.6446553447,2.283716284,0,3.832867133,0.6446553447,3.3,3.928371628,2.938761239,2.771628372,4,3.832867133,0.6446553447,2.771628372,2.938761239,2.771628372,2.843256743,2.928371628,2.31038961,3.604495504,2.055344655,3.928371628,3.771628372,2.843256743,0,2.843256743,0.7162837163,2.7,2.477522478,0,2.7,3.167132867,2.055344655,3.7,3.395504496
0.7192807193,3.76023976,3.448551449,2.928071928,3.928071928,4,2.771928072,0,2.052647353,2.812887113,0,3.156143856,2.011688312,3.52047952,0.6473526474,2.280719281,0,3.832167832,0.6473526474,3.3,3.928071928,2.93976024,2.771928072,4,3.832167832,0.6473526474,2.771928072,2.93976024,2.771928072,2.843856144,2.928071928,2.311688312,3.604095904,2.052647353,3.928071928,3.771928072,2.843856144,0,2.843856144,0.7192807193,2.7,2.47952048,0,2.7,3.167832168,2.052647353,3.7,3.395904096
0.7222777223,3.759240759,3.446253746,2.927772228,3.927772228,4,2.772227772,0,2.04995005,2.809190809,0,3.155544456,2.012987013,3.518481518,0.65004995,2.277722278,0,3.831468531,0.65004995,3.3,3.927772228,2.940759241,2.772227772,4,3.831468531,0.65004995,2.772227772,2.940759241,2.772227772,2.844455544,2.927772228,2.312987013,3.603696304,2.04995005,3.927772228,3.772227772,2.844455544,0,2.844455544,0.7222777223,2.7,2.481518482,0,2.7,3.168531469,2.04995005,3.7,3.396303696
0.7252747253,3.758241758,3.443956044,2.927472527,3.927472527,4,2.772527473,0,2.047252747,2.805494505,0,3.154945055,2.014285714,3.516483516,0.6527472527,2.274725275,0,3.830769231,0.6527472527,3.3,3.927472527,2.941758242,2.772527473,4,3.830769231,0.6527472527,2.772527473,2.941758242,2.772527473,2.845054945,2.927472527,2.314285714,3.603296703,2.047252747,3.927472527,3.772527473,2.845054945,0,2.845054945,0.7252747253,2.7,2.483516484,0,2.7,3.169230769,2.047252747,3.7,3.396703297
0.7282717283,3.757242757,3.441658342,2.927172827,3.927172827,4,2.772827173,0,2.044555445,2.801798202,0,3.154345654,2.015584416,3.514485514,0.6554445554,2.271728272,0,3.83006993,0.6554445554,3.3,3.927172827,2.942757243,2.772827173,4,3.83006993,0.6554445554,2.772827173,2.942757243,2.772827173,2.845654346,2.927172827,2.315584416,3.602897103,2.044555445,3.927172827,3.772827173,2.845654346,0,2.845654346,0.7282717283,2.7,2.485514486,0,2.7,3.16993007,2.044555445,3.7,3.397102897
0.7312687313,3.756243756,3.439360639,2.926873127,3.926873127,4,2.773126873,0,2.041858142,2.798101898,0,3.153746254,2.016883117,3.512487512,0.6581418581,2.268731269,0,3.829370629,0.6581418581,3.3,3.926873127,2.943756244,2.773126873,4,3.829370629,0.6581418581,2.773126873,2.943756244,2.773126873,2.846253746,2.926873127,2.316883117,3.602497502,2.041858142,3.926873127,3.773126873,2.846253746,0,2.846253746,0.7312687313,2.7,2.487512488,0,2.7,3.170629371,2.041858142,3.7,3.397502498
0.7342657343,3.755244755,3.437062937,2.926573427,3.926573427,4,2.773426573,0,2.039160839,2.794405594,0,3.153146853,2.018181818,3.51048951,0.6608391608,2.265734266,0,3.828671329,0.6608391608,3.3,3.926573427,2.944755245,2.773426573,4,3.828671329,0.6608391608,2.773426573,2.944755245,2.773426573,2.846853147,2.926573427,2.318181818,3.602097902,2.039160839,3.926573427,3.773426573,2.846853147,0,2.846853147,0.7342657343,2.7,2.48951049,0,2.7,3.171328671,2.039160839,3.7,3.397902098
0.7372627373,3.754245754,3.434765235,2.926273726,3.926273726,4,2.773726274,0,2.036463536,2.790709291,0,3.152547453,2.019480519,3.508491508,0.6635364635,2.262737263,0,3.827972028,0.6635364635,3.3,3.926273726,2.945754246,2.773726274,4,3.827972028,0.6635364635,2.773726274,2.945754246,2.773726274,2.847452547,2.926273726,2.319480519,3.601698302,2.036463536,3.926273726,3.773726274,2.847452547,0,2.847452547,0.7372627373,2.7,2.491508492,0,2.7,3.172027972,2.036463536,3.7,3.398301698
0.7402597403,3.753246753,3.432467532,2.925974026,3.925974026,4,2.774025974,0,2.033766234,2.787012987,0,3.151948052,2.020779221,3.506493506,0.6662337662,2.25974026,0,3.827272727,0.6662337662,3.3,3.925974026,2.946753247,2.774025974,4,3.827272727,0.6662337662,2.774025974,2.946753247,2.774025974,2.848051948,2.925974026,2.320779221,3.601298701,2.033766234,3.925974026,3.774025974,2.848051948,0,2.848051948,0.7402597403,2.7,2.493506494,0,2.7,3.172727273,2.033766234,3.7,3.398701299
0.7432567433,3.752247752,3.43016983,2.925674326,3.925674326,4,2.774325674,0,2.031068931,2.783316683,0,3.151348651,2.022077922,3.504495504,0.6689310689,2.256743257,0,3.826573427,0.6689310689,3.3,3.925674326,2.947752248,2.774325674,4,3.826573427,0.6689310689,2.774325674,2.947752248,2.774325674,2.848651349,2.925674326,2.322077922,3.600899101,2.031068931,3.925674326,3.774325674,2.848651349,0,2.848651349,0.7432567433,2.7,2.495504496,0,2.7,3.173426573,2.031068931,3.7,3.399100899
0.7462537463,3.751248751,3.427872128,2.925374625,3.925374625,4,2.774625375,0,2.028371628,2.77962038,0,3.150749251,2.023376623,3.502497502,0.6716283716,2.253746254,0,3.825874126,0.6716283716,3.3,3.925374625,2.948751249,2.774625375,4,3.825874126,0.6716283716,2.774625375,2.948751249,2.774625375,2.849250749,2.925374625,2.323376623,3.6004995,2.028371628,3.925374625,3.774625375,2.849250749,0,2.849250749,0.7462537463,2.7,2.497502498,0,2.7,3.174125874,2.028371628,3.7,3.3995005
0.7492507493,3.75024975,3.425574426,2.925074925,3.925074925,4,2.774925075,0,2.025674326,2.775924076,0,3.15014985,2.024675325,3.5004995,0.6743256743,2.250749251,0,3.825174825,0.6743256743,3.3,3.925074925,2.94975025,2.774925075,4,3.825174825,0.6743256743,2.774925075,2.94975025,2.774925075,2.84985015,2.925074925,2.324675325,3.6000999,2.025674326,3.925074925,3.774925075,2.84985015,0,2.84985015,0.7492507493,2.7,2.4995005,0,2.7,3.174825175,2.025674326,3.7,3.3999001
0.7522477522,3.749250749,3.423276723,2.924775225,3.924775225,4,2.775224775,0,2.022977023,2.772227772,0,3.14955045,2.025974026,3.498501499,0.677022977,2.247752248,0,3.824475524,0.677022977,3.3,3.924775225,2.950749251,2.775224775,4,3.824475524,0.677022977,2.775224775,2.950749251,2.775224775,2.85044955,2.924775225,2.325974026,3.5997003,2.022977023,3.924775225,3.775224775,2.85044955,0,2.85044955,0.7522477522,2.7,2.501498501,0,2.7,3.175524476,2.022977023,3.7,3.4002997
0.7552447552,3.748251748,3.420979021,2.924475524,3.924475524,4,2.775524476,0,2.02027972,2.768531469,0,3.148951049,2.027272727,3.496503497,0.6797202797,2.244755245,0,3.823776224,0.6797202797,3.3,3.924475524,2.951748252,2.775524476,4,3.823776224,0.6797202797,2.775524476,2.951748252,2.775524476,2.851048951,2.924475524,2.327272727,3.599300699,2.02027972,3.924475524,3.775524476,2.851048951,0,2.851048951,0.7552447552,2.7,2.503496503,0,2.7,3.176223776,2.02027972,3.7,3.400699301
0.7582417582,3.747252747,3.418681319,2.924175824,3.924175824,4,2.775824176,0,2.017582418,2.764835165,0,3.148351648,2.028571429,3.494505495,0.6824175824,2.241758242,0,3.823076923,0.6824175824,3.3,3.924175824,2.952747253,2.775824176,4,3.823076923,0.6824175824,2.775824176,2.952747253,2.775824176,2.851648352,2.924175824,2.328571429,3.598901099,2.017582418,3.924175824,3.775824176,2.851648352,0,2.851648352,0.7582417582,2.7,2.505494505,0,2.7,3.176923077,2.017582418,3.7,3.401098901
0.7612387612,3.746253746,3.416383616,2.923876124,3.923876124,4,2.776123876,0,2.014885115,2.761138861,0,3.147752248,2.02987013,3.492507493,0.6851148851,2.238761239,0,3.822377622,0.6851148851,3.3,3.923876124,2.953746254,2.776123876,4,3.822377622,0.6851148851,2.776123876,2.953746254,2.776123876,2.852247752,2.923876124,2.32987013,3.598501499,2.014885115,3.923876124,3.776123876,2.852247752,0,2.852247752,0.7612387612,2.7,2.507492507,0,2.7,3.177622378,2.014885115,3.7,3.401498501
0.7642357642,3.745254745,3.414085914,2.923576424,3.923576424,4,2.776423576,0,2.012187812,2.757442557,0,3.147152847,2.031168831,3.490509491,0.6878121878,2.235764236,0,3.821678322,0.6878121878,3.3,3.923576424,2.954745255,2.776423576,4,3.821678322,0.6878121878,2.776423576,2.954745255,2.776423576,2.852847153,2.923576424,2.331168831,3.598101898,2.012187812,3.923576424,3.776423576,2.852847153,0,2.852847153,0.7642357642,2.7,2.509490509,0,2.7,3.178321678,2.012187812,3.7,3.401898102
0.7672327672,3.744255744,3.411788212,2.923276723,3.923276723,4,2.776723277,0,2.009490509,2.753746254,0,3.146553447,2.032467532,3.488511489,0.6905094905,2.232767233,0,3.820979021,0.6905094905,3.3,3.923276723,2.955744256,2.776723277,4,3.820979021,0.6905094905,2.776723277,2.955744256,2.776723277,2.853446553,2.923276723,2.332467532,3.597702298,2.009490509,3.923276723,3.776723277,2.853446553,0,2.853446553,0.7672327672,2.7,2.511488511,0,2.7,3.179020979,2.009490509,3.7,3.402297702
0.7702297702,3.743256743,3.409490509,2.922977023,3.922977023,4,2.777022977,0,2.006793207,2.75004995,0,3.145954046,2.033766234,3.486513487,0.6932067932,2.22977023,0,3.82027972,0.6932067932,3.3,3.922977023,2.956743257,2.777022977,4,3.82027972,0.6932067932,2.777022977,2.956743257,2.777022977,2.854045954,2.922977023,2.333766234,3.597302697,2.006793207,3.922977023,3.777022977,2.854045954,0,2.854045954,0.7702297702,2.7,2.513486513,0,2.7,3.17972028,2.006793207,3.7,3.402697303
0.7732267732,3.742257742,3.407192807,2.922677323,3.922677323,4,2.777322677,0,2.004095904,2.746353646,0,3.145354645,2.035064935,3.484515485,0.6959040959,2.226773227,0,3.81958042,0.6959040959,3.3,3.922677323,2.957742258,2.777322677,4,3.81958042,0.6959040959,2.777322677,2.957742258,2.777322677,2.854645355,2.922677323,2.335064935,3.596903097,2.004095904,3.922677323,3.777322677,2.854645355,0,2.854645355,0.7732267732,2.7,2.515484515,0,2.7,3.18041958,2.004095904,3.7,3.403096903
0.7762237762,3.741258741,3.404895105,2.922377622,3.922377622,4,2.777622378,0,2.001398601,2.742657343,0,3.144755245,2.036363636,3.482517483,0.6986013986,2.223776224,0,3.818881119,0.6986013986,3.3,3.922377622,2.958741259,2.777622378,4,3.818881119,0.6986013986,2.777622378,2.958741259,2.777622378,2.855244755,2.922377622,2.336363636,3.596503497,2.001398601,3.922377622,3.777622378,2.855244755,0,2.855244755,0.7762237762,2.7,2.517482517,0,2.7,3.181118881,2.001398601,3.7,3.403496503
0.7792207792,3.74025974,3.402597403,2.922077922,3.922077922,4,2.777922078,0,1.998701299,2.738961039,0,3.144155844,2.037662338,3.480519481,0.7012987013,2.220779221,0,3.818181818,0.7012987013,3.3,3.922077922,2.95974026,2.777922078,4,3.818181818,0.7012987013,2.777922078,2.95974026,2.777922078,2.855844156,2.922077922,2.337662338,3.596103896,1.998701299,3.922077922,3.777922078,2.855844156,0,2.855844156,0.7792207792,2.7,2.519480519,0,2.7,3.181818182,1.998701299,3.7,3.403896104
0.7822177822,3.739260739,3.4002997,2.921778222,3.921778222,4,2.778221778,0,1.996003996,2.735264735,0,3.143556444,2.038961039,3.478521479,0.703996004,2.217782218,0,3.817482517,0.703996004,3.3,3.921778222,2.960739261,2.778221778,4,3.817482517,0.703996004,2.778221778,2.960739261,2.778221778,2.856443556,2.921778222,2.338961039,3.595704296,1.996003996,3.921778222,3.778221778,2.856443556,0,2.856443556,0.7822177822,2.7,2.521478521,0,2.7,3.182517483,1.996003996,3.7,3.404295704
0.7852147852,3.738261738,3.398001998,2.921478521,3.921478521,4,2.778521479,0,1.993306693,2.731568432,0,3.142957043,2.04025974,3.476523477,0.7066933067,2.214785215,0,3.816783217,0.7066933067,3.3,3.921478521,2.961738262,2.778521479,4,3.816783217,0.7066933067,2.778521479,2.961738262,2.778521479,2.857042957,2.921478521,2.34025974,3.595304695,1.993306693,3.921478521,3.778521479,2.857042957,0,2.857042957,0.7852147852,2.7,2.523476523,0,2.7,3.183216783,1.993306693,3.7,3.404695305
0.7882117882,3.737262737,3.395704296,2.921178821,3.921178821,4,2.778821179,0,1.990609391,2.727872128,0,3.142357642,2.041558442,3.474525475,0.7093906094,2.211788212,0,3.816083916,0.7093906094,3.3,3.921178821,2.962737263,2.778821179,4,3.816083916,0.7093906094,2.778821179,2.962737263,2.778821179,2.857642358,2.921178821,2.341558442,3.594905095,1.990609391,3.921178821,3.778821179,2.857642358,0,2.857642358,0.7882117882,2.7,2.525474525,0,2.7,3.183916084,1.990609391,3.7,3.405094905
0.7912087912,3.736263736,3.393406593,2.920879121,3.920879121,4,2.779120879,0,1.987912088,2.724175824,0,3.141758242,2.042857143,3.472527473,0.7120879121,2.208791209,0,3.815384615,0.7120879121,3.3,3.920879121,2.963736264,2.779120879,4,3.815384615,0.7120879121,2.779120879,2.963736264,2.779120879,2.858241758,2.920879121,2.342857143,3.594505495,1.987912088,3.920879121,3.779120879,2.858241758,0,2.858241758,0.7912087912,2.7,2.527472527,0,2.7,3.184615385,1.987912088,3.7,3.405494505
0.7942057942,3.735264735,3.391108891,2.920579421,3.920579421,4,2.779420579,0,1.985214785,2.72047952,0,3.141158841,2.044155844,3.470529471,0.7147852148,2.205794206,0,3.814685315,0.7147852148,3.3,3.920579421,2.964735265,2.779420579,4,3.814685315,0.7147852148,2.779420579,2.964735265,2.779420579,2.858841159,2.920579421,2.344155844,3.594105894,1.985214785,3.920579421,3.779420579,2.858841159,0,2.858841159,0.7942057942,2.7,2.529470529,0,2.7,3.185314685,1.985214785,3.7,3.405894106
0.7972027972,3.734265734,3.388811189,2.92027972,3.92027972,4,2.77972028,0,1.982517483,2.716783217,0,3.140559441,2.045454545,3.468531469,0.7174825175,2.202797203,0,3.813986014,0.7174825175,3.3,3.92027972,2.965734266,2.77972028,4,3.813986014,0.7174825175,2.77972028,2.965734266,2.77972028,2.859440559,2.92027972,2.345454545,3.593706294,1.982517483,3.92027972,3.77972028,2.859440559,0,2.859440559,0.7972027972,2.7,2.531468531,0,2.7,3.186013986,1.982517483,3.7,3.406293706
0.8001998002,3.733266733,3.386513487,2.91998002,3.91998002,4,2.78001998,0,1.97982018,2.713086913,0,3.13996004,2.046753247,3.466533467,0.7201798202,2.1998002,0,3.813286713,0.7201798202,3.3,3.91998002,2.966733267,2.78001998,4,3.813286713,0.7201798202,2.78001998,2.966733267,2.78001998,2.86003996,2.91998002,2.346753247,3.593306693,1.97982018,3.91998002,3.78001998,2.86003996,0,2.86003996,0.8001998002,2.7,2.533466533,0,2.7,3.186713287,1.97982018,3.7,3.406693307
